"tab_code","表章項目","cat01_code","データの種別","cat02_code","銘柄","area_code","地域","time_code","時間軸（月）","unit","value","annotation","time"
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2014000202","2014年2月","円",796,NA,2014-02-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2014000101","2014年1月","円",738,NA,2014-01-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2013001212","2013年12月","円",827,NA,2013-12-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2013001111","2013年11月","円",812,NA,2013-11-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2013001010","2013年10月","円",847,NA,2013-10-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2013000909","2013年9月","円",756,NA,2013-09-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2013000808","2013年8月","円",732,NA,2013-08-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2013000707","2013年7月","円",832,NA,2013-07-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2013000606","2013年6月","円",799,NA,2013-06-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2013000505","2013年5月","円",764,NA,2013-05-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2013000404","2013年4月","円",819,NA,2013-04-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2013000303","2013年3月","円",804,NA,2013-03-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2013000202","2013年2月","円",833,NA,2013-02-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2013000101","2013年1月","円",819,NA,2013-01-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2012001212","2012年12月","円",791,NA,2012-12-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2012001111","2012年11月","円",853,NA,2012-11-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2012001010","2012年10月","円",736,NA,2012-10-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2012000909","2012年9月","円",724,NA,2012-09-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2012000808","2012年8月","円",752,NA,2012-08-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2012000707","2012年7月","円",756,NA,2012-07-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2012000606","2012年6月","円",738,NA,2012-06-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2012000505","2012年5月","円",702,NA,2012-05-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2012000404","2012年4月","円",830,NA,2012-04-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2012000303","2012年3月","円",810,NA,2012-03-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2012000202","2012年2月","円",844,NA,2012-02-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2012000101","2012年1月","円",789,NA,2012-01-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2011001212","2011年12月","円",754,NA,2011-12-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2011001111","2011年11月","円",701,NA,2011-11-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2011001010","2011年10月","円",742,NA,2011-10-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2011000909","2011年9月","円",739,NA,2011-09-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2011000808","2011年8月","円",787,NA,2011-08-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2011000707","2011年7月","円",785,NA,2011-07-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2011000606","2011年6月","円",778,NA,2011-06-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2011000505","2011年5月","円",646,NA,2011-05-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2011000404","2011年4月","円",810,NA,2011-04-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2011000303","2011年3月","円",734,NA,2011-03-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2011000202","2011年2月","円",741,NA,2011-02-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2011000101","2011年1月","円",738,NA,2011-01-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2010001212","2010年12月","円",685,NA,2010-12-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2010001111","2010年11月","円",737,NA,2010-11-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2010001010","2010年10月","円",725,NA,2010-10-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2010000909","2010年9月","円",753,NA,2010-09-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2010000808","2010年8月","円",748,NA,2010-08-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2010000707","2010年7月","円",736,NA,2010-07-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2010000606","2010年6月","円",749,NA,2010-06-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2010000505","2010年5月","円",682,NA,2010-05-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2010000404","2010年4月","円",675,NA,2010-04-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2010000303","2010年3月","円",690,NA,2010-03-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2010000202","2010年2月","円",670,NA,2010-02-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2010000101","2010年1月","円",722,NA,2010-01-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2009001212","2009年12月","円",641,NA,2009-12-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2009001111","2009年11月","円",710,NA,2009-11-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2009001010","2009年10月","円",695,NA,2009-10-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2009000909","2009年9月","円",763,NA,2009-09-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2009000808","2009年8月","円",748,NA,2009-08-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2009000707","2009年7月","円",758,NA,2009-07-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2009000606","2009年6月","円",720,NA,2009-06-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2009000505","2009年5月","円",727,NA,2009-05-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2009000404","2009年4月","円",672,NA,2009-04-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2009000303","2009年3月","円",713,NA,2009-03-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2009000202","2009年2月","円",685,NA,2009-02-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2009000101","2009年1月","円",775,NA,2009-01-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2008001212","2008年12月","円",677,NA,2008-12-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2008001111","2008年11月","円",674,NA,2008-11-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2008001010","2008年10月","円",692,NA,2008-10-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2008000909","2008年9月","円",726,NA,2008-09-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2008000808","2008年8月","円",710,NA,2008-08-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2008000707","2008年7月","円",727,NA,2008-07-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2008000606","2008年6月","円",654,NA,2008-06-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2008000505","2008年5月","円",806,NA,2008-05-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2008000404","2008年4月","円",803,NA,2008-04-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2008000303","2008年3月","円",764,NA,2008-03-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2008000202","2008年2月","円",765,NA,2008-02-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2008000101","2008年1月","円",646,NA,2008-01-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2007001212","2007年12月","円",614,NA,2007-12-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2007001111","2007年11月","円",659,NA,2007-11-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2007001010","2007年10月","円",727,NA,2007-10-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2007000909","2007年9月","円",769,NA,2007-09-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2007000808","2007年8月","円",744,NA,2007-08-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2007000707","2007年7月","円",745,NA,2007-07-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2007000606","2007年6月","円",754,NA,2007-06-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2007000505","2007年5月","円",815,NA,2007-05-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2007000404","2007年4月","円",789,NA,2007-04-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2007000303","2007年3月","円",713,NA,2007-03-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2007000202","2007年2月","円",625,NA,2007-02-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2007000101","2007年1月","円",655,NA,2007-01-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2006001212","2006年12月","円",727,NA,2006-12-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2006001111","2006年11月","円",637,NA,2006-11-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2006001010","2006年10月","円",657,NA,2006-10-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2006000909","2006年9月","円",633,NA,2006-09-01
"10","価格","0020","価格","01582","1582 キウイフルーツ","01100","札幌市","2006000808","2006年8月","円",662,NA,2006-08-01
